code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10806111	学部	"○日本文化史
Information to Japanese Cultural History"	髙橋　美都	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806111000.html	151.0	31.1	40.4	13.2	4.6	10.6	0.0	2.8
10806112	学部	"○文化計量学入門
Introduction to Quantitative Analysis of Culture"	河瀬　彰宏	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806112000.html	251.0	11.2	20.3	38.2	20.7	9.6	0.0	2.0
10806113	学部	"○現代文化概論
Contemporary Cultural Studies"	柳沢　英輔	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806113000.html	323.0	8.7	20.7	35.6	15.8	19.2	0.0	1.8
10806114	学部	"△歴史文化情報入門
Introduction to Historic and Cultural Information"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806114000.html	102.0	15.7	19.6	41.2	2.0	21.6	0.0	2.1
10806115	学部	"△文献学入門
Introduction to Philology"	福田　智子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806115000.html	129.0	5.4	18.6	10.9	34.9	30.2	0.0	1.3
10806116	学部	"△ジャパノロジー概論
Survey of Japanology"	佐野　仁志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806116000.html	27.0	29.6	22.2	3.7	0.0	44.4	0.0	1.9
10806121	学部	"○歴史文化情報概説
Survey of Historic and Cultural Information"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806121000.html	56.0	21.4	41.1	23.2	1.8	12.5	0.0	2.6
10806122	学部	"○文献講読
Reading Literature"	福田　智子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806122000.html	92.0	14.1	17.4	14.1	30.4	23.9	0.0	1.7
10806123	学部	"○人間と文化
Human Beings and Culture"	田口　哲也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806123000.html	168.0	8.3	13.7	19.0	26.8	32.1	0.0	1.4
10806124	学部	"△比較文化論
Comparative Cultural Studies"	田口　哲也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806124000.html	92.0	6.5	13.0	13.0	26.1	41.3	0.0	1.2
10806125	学部	"△伝統音楽論
Classical Music"	柳沢　英輔	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806125000.html	213.0	8.9	18.8	26.8	23.5	22.1	0.0	1.7
10806126	学部	"△文献解析
Analysis of Literature"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806126000.html	62.0	16.1	6.5	16.1	11.3	50.0	0.0	1.3
10806127	学部	"△美術史学
Art History"	中安　真理	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806127000.html	82.0	11.0	11.0	46.3	18.3	13.4	0.0	1.9
10806131	学部	"○歴史文化情報論
Historic and Cultural Information"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806131000.html	20.0	50.0	25.0	0.0	0.0	25.0	0.0	2.8
10806132	学部	"○文化記号論
Semiotics of Culture"	髙橋　美都	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806132000.html	77.0	35.1	33.8	10.4	6.5	14.3	0.0	2.7
10806133	学部	"○古典文化論
Classic Culture"	中安　真理	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806133000.html	37.0	16.2	16.2	24.3	13.5	29.7	0.0	1.8
10806134	学部	"△文化解析
Data Analysis of Culture"	河瀬　彰宏	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806134000.html	47.0	23.4	19.1	12.8	10.6	34.0	0.0	1.9
10806135	学部	"○音楽解析
Data Analysis of Music"	髙橋　美都	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806135000.html	106.0	49.1	34.9	2.8	0.9	12.3	0.0	3.1
10806211	学部	"○ことばと文化
Language and Culture"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806211000.html	144.0	8.3	21.5	25.7	25.7	18.8	0.0	1.8
10806212	学部	"○ことばの科学
The Science of Language"	星　英仁	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806212000.html	230.0	17.4	30.0	24.3	17.0	11.3	0.0	2.3
10806213	学部	"△ことばと社会
Language and Society"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806213000.html	145.0	11.7	36.6	18.6	9.7	23.4	0.0	2.0
10806214	学部	"△世界の諸言語
Languages of the World"	田中　雄	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806214000.html	112.0	10.7	26.8	28.6	8.9	25.0	0.0	1.9
10806221	学部	"○言語とコーパス
Language and Corpora"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806221000.html	43.0	18.6	25.6	14.0	7.0	34.9	0.0	1.9
10806222	学部	"○言語研究の方法１
Methodologies to Linguistic Study 1"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806222000.html	128.0	11.7	26.6	28.1	18.8	14.8	0.0	2.0
10806223	学部	"○言語類型論
Linguistic Typology"	沈　力	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806223000.html	136.0	6.6	14.0	15.4	30.1	33.8	0.0	1.3
10806224	学部	"△言語コミュニケーション論
Language and Communication Theory"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806224000.html	118.0	17.8	18.6	30.5	12.7	20.3	0.0	2.0
10806225	学部	"△言語研究の方法２
Methodologies to Linguistic Study 2"	沈　力	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806225000.html	52.0	7.7	19.2	40.4	15.4	17.3	0.0	1.8
10806231	学部	"○言語行動論
Linguistics Behavior"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806231000.html	14.0	28.6	35.7	0.0	0.0	35.7	0.0	2.2
10806233	学部	"○自然言語の生成モデル
Theory of Syntax for Natural Language"	星　英仁	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806233000.html								
10806234	学部	"△言語と脳科学
Language and Brain Science"	星　英仁	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806234000.html								
10806311	学部	"○文化と認知
Culture and Cognition"	下嶋　篤	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806311000.html	21.0	9.5	9.5	38.1	9.5	33.3	0.0	1.5
10806312	学部	"○身体論
Body Studies"	"阪田　真己子
菊地　暁
後安　美紀
山本　倫也
鈴木　康史"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806312000.html	361.0	16.1	21.1	24.4	16.9	21.6	0.0	1.9
10806313	学部	"△認知科学入門
Introduction to Cognitive Science"	杉尾　武志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806313000.html	300.0	13.7	24.3	22.0	17.0	23.0	0.0	1.9
10806314	学部	"△人間と感性
Human Beings and Kansei"	大塚　幸生	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806314000.html	243.0	31.3	12.8	12.8	19.3	23.9	0.0	2.1
10806321	学部	"○感覚・知覚論
Sensation and Perception"	杉尾　武志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806321000.html	293.0	5.8	15.0	24.2	26.3	28.7	0.0	1.4
10806322	学部	"△身体メディア論
Human Body as Medium"	阪田　真己子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806322000.html	315.0	16.8	18.7	23.8	16.8	23.8	0.0	1.9
10806323	学部	"○認知科学の方法
Methods of Cognitive Science"	"阪田　真己子
杉尾　武志
大塚　幸生"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806323000.html								
10806324	学部	"○認知科学実習
Practices of Cognitive Science"	"阪田　真己子
杉尾　武志
大塚　幸生"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806324000.html								
10806325	学部	"△表現文化論
Representational cultures"	"下嶋　篤
後安　美紀"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806325000.html	252.0	5.6	19.8	43.3	20.2	11.1	0.0	1.9
10806331	学部	"△認知システム論
Cognitive Systems"	杉尾　武志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806331000.html								
